,specialty,links,question,answer
10,Chủ đề nổi bật,https://edoctor.io/hoi-dap/duong-gan-mau-tim-dam-to-o-duoi-luoi-co-nguy-hiem,"bác sĩ cho cháu hỏi nay cháu soi giơng thấy dưới lưỡi có 2 đường gân màu tím đậm rất to và đậm, không biết vậy có ảnh hưởng gì không ạ","Chào bạn!
Đó là hình ảnh tĩnh mạch lưới thôi, bình thường bạn nhé
Thân mến"
11,Chủ đề nổi bật,https://edoctor.io/hoi-dap/nuoc-mui-co-mau-la-dau-hieu-cua-benh-gi,"Em chào Bác Sĩ
Em tên Nguyễn Văn Khắc Điệp, SN 1995, Giới tính Nam
Hiện tại em bị đau họng biểu hiện là: dịch mũi có máu bên mũi phải và đờm có máu.
Như vậy là bị gì bác sĩ ơi???
Em cảm ơn Bác Sĩ ạ","Chào bạn!
Như bạn mô tả có thể bạn đang viêm mũi họng cấp, tuy nhiên bạn có hỉ mũi ra máu thì bạn nên đi khám bs tai mũi họng để bs tìm hiểu nguyên nhân từ đâu, khi đó mới điều trị đặc hiệu cho bạn được
Thân mến"
12,Chủ đề nổi bật,https://edoctor.io/hoi-dap/dau-hieu-cua-viem-nhiem-tiet-nieu,"tôi là nam.năm nay 37t.
mấy hôm nay.Khi tiểu gặp tình trạng tiểu són, hơi buốt trong người, đau tức phần bụng dưới.
như vậy là bị sao ạ.xin cám ơn bác sĩ
","Chào anh, triệu chứng của anh có thể là nhiễm khuẩn tiết niệu. Anh nên đến khám tại chuyên khoa thận tiết niệu để khám và điều trị nhé. Ngoài ra anh nên uống mỗi ngày khoảng 2000-2500ml để hạn chế nguy cơ nhiễm khuẩn ngược dòng nha. Chúc anh nhiều sức khoẻ!"
13,Chủ đề nổi bật,https://edoctor.io/hoi-dap/bi-gan-nhiem-mo-co-can-uong-thuoc,bác sĩ ơi e đi siêu âm thì ng ta bảo e bị gan nhiễm mỡ nhưng lúc đó bác sĩ lại không kê toa cho e vậy e có cần phải uống thuốc gì không và có cần kiêng ăn gì không ạ?,"Chào bạn, hiện gan nhiễm mỡ chưa có thuốc điều trị đặc hiệu, bạn nên điều chỉnh chế độ ăn để giảm mỡ động vật nội tạng và uống nhiều nước hàng ngày, giảm cân nếu thừa cân nhé! Ngoài ra bạn có thể uống vitamin E để hạn chế oxy hoá tế bào gan và duntf trong thời gian ngắn khoảng 15-30 ngày nhé. Chúc bạn nhiều sức khoẻ!"
14,Chủ đề nổi bật,https://edoctor.io/hoi-dap/cac-dau-ngon-tay-bi-den-o-nguoi-lon-tuoi-do-dau,"Cho em hỏi, người nhà em ( cụ thể là ông em - 74  tuổi ) trong 3 ngày gần đây có hiện tượng phần da các đầu ngón tay, ngón chân bị thâm đen, bị vậy có làm sao không ạ?","Chào bạn, bạn nên đưa ông đến ngay chuyên khoa tim mạch để khám vì tổn thương như bạn mô tả có nguy cơ tắc mạch và hoại tử đầu chi nhé. Chúc ông và gia đình nhiều sức khoẻ!"
15,Chủ đề nổi bật,https://edoctor.io/hoi-dap/dau-khop-ngon-tay-ut-ben-phai-nen-dieu-tri-uong-thuoc-gi,"xin hỏi Bác Sỹ tự nhiên ngón tay út(bên phải) bị đau như đau khớp,như vậy là triệu chứng gì,và phải điều trị thuốc gì.xin cám ơn Bác Sỹ","Chào bạn, ngoài triệu chứng đau bạn có sưng nóng đỏ vùng khớp đó không và có đau ở vị trí nào khác không? Bạn nên đến chuyên khoa cơ xương khớp để khám và tìm nguyên nhân điều trị nhé. Trường hợp của bạn cần siêu âm và chụp xquang để đánh giá tổn thương xương hoặc gân cơ vùng ngón tay nha. Chúc bạn nhiều sức khoẻ!"
16,Chủ đề nổi bật,https://edoctor.io/hoi-dap/chu-ky-kinh-nguyet-it-do-niem-mac-tu-cung-mong-phai-lam-sao,"dạ em chào các bs em năm nay 26 tuổi chu kỳ kinh nguyệt của e 1 năm chỉ có 1-2 lần e đi khám bs bảo niêm mạc tử cung của em là 0,25cm em muốn hỏi giờ ăn gì hay có phương pháp nào để tăng niêm mạc lên không ạ e cảm ơn ạ","Chào bạn. Niêm mạc tử cung mỏng có thể xuất phát từ các nguyên nhân: Thiếu hụt estrogen, lớp nội mạc tử cung bị tổn thương do từng nạo phá thai trước đó, do cơ thể thiếu máu hoặc tình trạng mô tuyến của lớp niêm mạc tử cung phát triển bên trong cơ của thành tử cung...Bạn nên đi khám chuyên khoa sâu sản phụ khoa để xác định nguyên nhân, tùy từng nguyên nhân khác nhau bác sĩ sẽ có phác đồ điều trị khác nhau ạ. Thân mến. "
17,Chủ đề nổi bật,https://edoctor.io/hoi-dap/tap-the-duc-tai-nha-co-hieu-qua,"Bác sĩ cho em hỏi là tự tập thể dục ở nhà có tốt hơn là đến các phòng tập thể dục có huấn luyện viên hướng dẫn không, tự tập thể dục ở nhà hiệu quả có cao không","Chào bạn! Cảm ơn bạn đã gửi câu hỏi đến eDoctor! Vấn đề bạn hỏi phụ thuộc vào sự quyết tâm, ý chí, cách thức và điều kiện hoàn cảnh của bạn. Nếu bạn quyết tâm và có nền tảng về tập luyện thì bạn tập ở đâu cũng có hiệu quả mong muốn, tất nhiên ở những nơi chuyên nghiệp thì sẽ tốt hơn! Trân trọng"
18,Chủ đề nổi bật,https://edoctor.io/hoi-dap/cach-tranh-thai-hieu-qua-va-an-toan-100-lieu-co-khong,,
19,Chủ đề nổi bật,https://edoctor.io/hoi-dap/keo-dai-thoi-gian-quan-he-bang-thuoc-nao,bác sĩ ơi cho em hỏi có thuốc nào kéo dài thời gian quan hệ cho nam không ạ và biện pháp tránh thai an toàn và hiệu quả nhất là biện pháp nào vậy bác sĩ .    Mong bác sĩ trả lời giúp em,"Chào bạn, không có thuốc nào kéo dài thời gian quan hệ đâu ạ, mà bạn nên luyện tập dần. Không có biện pháp tránh thai nào là hiệu quả và an toàn 100% , đa số đều trên 95% . Các biện pháp tránh thai an toàn và phổ biến là bao cao su, thuốc tránh thai, vòng tránh thai...Thân mến. "
20,Chủ đề nổi bật,https://edoctor.io/hoi-dap/ho-lau-ngay-trong-vong-1-thang-la-dau-hieu-benh-gi,"ho lâu ngày ( 1 tháng) ngứa họng là ho, ợ nước lên họng, cảm giác nóng họng và chua.","Chào anh, triệu chứng của anh có thể là viêm trào ngược dạ dày thực quản dẫn tới viêm họng. Anh nên đến chuyên khoa tiêu hoá và tai mũi họng để khám và điều trị sớm nhé. Ngoài ra anh nên hạn chế thức ăn chua cay, rượu bia cafe, ngủ sớm để giảm các triệu chứng nhé. Chúc anh nhiều sức khoẻ!"
21,Chủ đề nổi bật,https://edoctor.io/hoi-dap/lam-sao-de-biet-minh-co-bi-nhiem-virus-hpv-hay-khong,BSi cho tôi hỏi đối với nam giới làm sao để biết mình có bị nhiễm virus HPV hay không? và đối với người mắc virus HPV có chữa khỏi hoàn toàn được không? Xin cảm ơn bs,"Chào anh, để biết nhiễm HPV anh nên đến chuyên khoa da liễu khám và làm xét nghiệm nhé. HPV có thể chữa khỏi nhưng tuỳ thể bệnh và yếu tố nguy cơ đi kèm. Chúc anh nhiều sức khoẻ!"
22,Chủ đề nổi bật,https://edoctor.io/hoi-dap/be-thuong-xuyen-quay-khoc-luc-ngu-phai-lam-sao,"bé nhà em được 7,5 tháng tuổi. Khoảng 2 tuần gần đây bé bị trằn trọc khi ngủ đêm, đêm thức dậy khoảng 5 lần, khóc to và ko tự ngủ lại được. Dù trước đó bé ngủ đêm tốt. Bé cân nặng 9kg, được bổ sung vitamin D3 từ lúc sơ sinh. Em muốn hỏi tình trạng này có bất thường không và em cần làm gì để giúp con tìm lại được giấc ngủ ngon. Cảm ơn bác sĩ. ","Chào bạn, nguyên nhân gây khó ngủ cho bé có rất nhiều như nóng ( bạn cần kiểm tra cổ gáy, tóc, lưng bé có mồ hôi không), buồn tiểu, đói, giật mình... Bạn cần kiểm soát các yếu tố trên. Ngoài ra bạn nên xem lại giấc ngủ ngày của bé có nhiều không, giấc ngủ buổi chiều có cách buổi tối đủ xa không... Thân mến. "
23,Chủ đề nổi bật,https://edoctor.io/hoi-dap/hoi-phuc-gay-xuong-dot-2-ngon-tro-bang-cach-nao,"xin chào bs .tôi bị gãy xương đốt 2 ngón trỏ nay được 4 tuần rồi ,hiện tại những vết thương hở đã kéo da nhưng khi cặp nẹp thì ngón tay vẩn bị sưng phù và ngón tay hơi bị cong, đi khám và chụp phim bv chỉ cho thuốc giảm đau .xin được tư vấn ạ .","Chào bạn, có thể tổn thương của bạn đang trong quá trình hồi phục. Do ảnh hưởng của chấn thương , của sẹo co kéo ngón tay biến dạng. Hiện tại không nhiễm trùng nên bác sĩ chỉ cho thuốc giảm đau. Bạn nên theo dõi thêm, có thể đi khám thêm chuyên khoa Phục Hồi Chức Năng để bác sĩ tư vấn biện pháp giảm nhẹ. Thân mến. "
24,Chủ đề nổi bật,https://edoctor.io/hoi-dap/mat-ngu-tim-dap-nhanh-co-the-la-van-de-cua-stress,"dạ em chào bác sĩ em là nam năm nay em 33 tuổi em bị mất ngủ và ngủ hay bị giật mình và hồi hộp mỗi lần như vậy tim em đập rất nhanh. Em chưa điều trị lần nào hết, bác sĩ cho em hỏi em phải điều trị như thế nào và phải đi khám làm sao ạ em cảm ơn bác sĩ ?","Chào bạn! Cảm ơn bạn đã gửi câu hỏi đến eDoctor, vấn đề của bạn có thể liên quan đến stress họăc những suy nghĩ quá mức, tuy nhiên, do không đựơc đánh giá nên bs chưa định huớng rõ ràng tình trạng của bạn là gì cả, bạn nên đi khám để đánh giá cũng như căn cứ vào đó bs sẽ kê đơn hỗ trợ cho bạn. Trân trọng"
25,Chủ đề nổi bật,https://edoctor.io/hoi-dap/thuoc-nho-mat-giup-han-chet-moi-mat-cay-mat,"Em 24 tuổi, bầu 28 tuần, thường xuyên làm việc máy tính nên rất hay mỏi mắt, cay mắt. BS cho em hỏi nên dùng loại thuốc nhỏ mắt nào được ạ? Em cảm ơn ạ",Chào bạn. Để giảm mỏi nhức mắt bạn có thể nghỉ ngơi mắt nhiều hơn theo nguyên tắc 20:20:20 tức là làm việc 20 phút nghỉ ngơi mắt 20 giây bằng cách nhìn xa 20 feet  (tức là 6 mét). Bạn có thể dùng thêm nước muối sinh lý nhỏ mắt cho bớt khó chịu. Thân mến. 
26,Chủ đề nổi bật,https://edoctor.io/hoi-dap/so-gan-va-gan-nhiem-mo-khac-nhau-ra-sao,Bs siêu âm em bi sơ gan về uống thuốc được nữa tháng e đi tái khám lại bs bảo em bị gan nhiễm mỡ vậy tóm lại em bi ji vậy bs,"Chào bạn! 
chỉ có kết quả siêu âm thì chưa đánh giá được xơ gan hay không, mình có thể làm thêm xét nghiệm men gan nữa nhé. Ở độ tuổi của bạn nghĩ đến gan nhiễm mỡ nhiều hơn xơ gan."
27,Chủ đề nổi bật,https://edoctor.io/hoi-dap/noi-man-khong-ngua-khong-rat-phai-lam-sao,"Em là Tấn Anh, Nam, 29 tuổi. Em bị nổi mẫn 2 ngày nay, không rát, không ngứa. Cho em hỏi bác sĩ tình trạng này có nguy hiểm không ạ. Em đính kèm hình ảnh ạ.","Chào bạn! 
hình ảnh trên nghĩ đến có thể do xuất huyết dưới da, hoặc viêm mao mạch gây nên. 
bạn nên đi khám và xét nghiệm kiểm tra để tìm nguyên nhân và điều trị nhé. "
28,Chủ đề nổi bật,https://edoctor.io/hoi-dap/cach-khac-phuc-xuat-tinh-som,"cháu chào bác sĩ
hiện cháu đang bị xuất tinh sớm 
bây giờ cháu cần làm gì và uống thuốc gì để cải thiện ạ
hiện cháu đang ở nước ngoài nên không thể thăm khám ạ , rất mong bác sĩ chỉ bảo và hướng dẫn cải thiện","Chào bạn! Cảm ơn bạn đã gửi câu hỏi đến eDoctor! Vấn đề xuất tinh sớm cần thăm khám để đánh giá và tìm hiểu nguyên nhân bạn nhé, bạn nên liên hệ với bs để bs đánh giá và có phương pháp cho bạn, ngoài ra bạn có thể tham khảo về chế độ tập luyện, các phương pháp cải thiện tâm lý và các tư thế hỗ trợ để có thể kéo dài thời gian ân ái bằng các sách có bán trên thị trường. Trân trọng"
29,Chủ đề nổi bật,https://edoctor.io/hoi-dap/tram-cam-qua-khu-dan-den-benh-tam-ly-nang-nao-trong-tuong-lai-khong,"Em xin chào,
Em năm nay 22 tuổi, thời gian gần đây (khoảng 5 tháng) em thấy mình sau 1 ngày làm việc hay mệt mỏi, kiệt sức về tinh thần lẫn sức khỏe và đôi lúc tự nhiên thấy hoang mang, lo lắng về mọi thứ xung quanh. 
Em từng bị trầm cảm nhẹ (chưa được chẩn đoán) cỡ hơn 3 năm, từng có ý định tự tử nhưng sau đó đã thoát ra được. (thời gian đó em mới nghỉ học, gia đình xảy ra chuyện, luôn thấy bản thân đang gánh vác mọi thứ,...)

Cho em hỏi, từ giai đoạn trầm cảm xảy ra trong quá khứ cùng với những biểu hiện gần đây có phải em đang mắc bệnh tâm lý nào đó không ạ?
Và em có cần thăm khám không? Nếu cần em phải khám chuyên khoa nào và cần chuẩn bị những gì?

Em cám ơn bác sĩ.","Chào bạn! Cảm ơn bạn đã gửi câu hỏi đến eDoctor! Vấn đề của bạn có nhiều yếu tố như cảm giác mất năng lượng, mệt mỏi vô cớ, lo lắng.... có thể chưa đủ tiêu chuẩn chẩn đoán bệnh lý tuy nhiên cần đánh giá sớm, bạn nên đi khám chuyên khoa tâm thần bạn nhé! Trân trọng"
30,Chủ đề nổi bật,https://edoctor.io/hoi-dap/cai-thien-tinh-trang-hau-covid-co-lau-khong,"Em là nữ 22 tuổi . Sau khi khỏi covid thì em có hiện tượng vướng cổ , ứ cổ , em đang bị cả trào ngược dạ dày nhưng nội soi thì thanh quản vẫn bình thường , niêm mạc hồng , nhẵn , liệu việc vướng cổ , ứ cổ có phải là do hậu covid không ạ . Ngoài ra sau khi khỏi covid em còn hay khó thở do bị ngạt cả 2 mũi , em nên làm gì hay dùng gì để cải thiện được 2 tình trạng trên ạ ","Chào bạn. Có thể sau khi khỏi covid bạn lo lắng nhiều dẫn đến trào ngược dạ dày thực quản, tuy không tổn thương đại thể nhưng có tổn thương niêm mạc gây ra vướng cổ. Tình trạng này có thể kéo dài cả tháng. Bạn nên uống nhiều nước, không để khô họng, không ăn quá no, hạn chế thức khuya, căng thẳng... Việc ngạt mũi có thể do tổn thương xoang. Bạn nên đi khám chuyên khoa tai mũi họng để được thăm khám, kê đơn thuốc. Thân mến. "
31,Chủ đề nổi bật,https://edoctor.io/hoi-dap/di-chung-noi-me-day-cua-hau-covid-19,"Tôi bị F0 từ thứ 2, nhưng trước đó 1 tuần bị nổi mề đay khắp người, đến hôm nay vẫn bị. Hôm nào tôi uống 1v dị ứng thì ko sao, ko uống là ngứa muốn rách da. Xin hỏi đó có phải triệu chứng của covid, sẽ kéo dài trong bao lâu, cách điều trị?
Cảm ơn bác sĩ","Chào bạn! 
tình trạng của bạn bị mề đay dị ứng, mình xem thời gian này mình có tiếp xúc với tác nhân gì gây dị ứng như thức ăn, phấn hoa, lông chó mèo…
thường mình nên uống thuốc chống dị ứng liên tục trong 7-10 ngày sau đó dừng để xem có nổi lại nữa không nhé. 
ngoài ra mình vệ sinh chăn ga gối đệm nhé"
32,Chủ đề nổi bật,https://edoctor.io/hoi-dap/tray-xuoc-duong-vat-khi-ca-vao-quan-jean-nen-lam-gi,"giới tính nam 
tuổi 28
bị xước trầy dương vật cạ vào quần jean","Chào bạn! Cảm ơn bạn đã gửi câu hỏi đến eDoctor! Bs cần biết mức độ tổn thương, cơ chế tổn thương, biểu hiện sau tổn thương và tình trạng hiện tại mới có thể đưa ra lời khuyên cho bạn, tuy nhiên nếu chỉ vết xước nhỏ, sạch gọn, không sưng nề, được sát khuẩn đảm bảo thì chỉ cần nghỉ ngơi vài ngày là sẽ ổn, nếu không bạn cần đi khám, đánh giá để có phương pháp hỗ trợ phù hợp. Trân trọng!"
33,Chủ đề nổi bật,https://edoctor.io/hoi-dap/nhung-dau-hieu-cho-thay-ban-dang-mac-benh-lau,,
